,Unnamed: 0,price.open,price.high,price.low,price.close,volume,price.adjusted,ref.date,ticker,ret.adjusted.prices,ret.closing.prices
248641,249363,107.120003,107.760002,106.559998,107.41999799999999,673700.0,100.096992,2013-11-21,ECL,,
248642,249364,107.470001,107.550003,106.75,107.459999,576200.0,100.134247,2013-11-22,ECL,0.000372189006438983,0.000372379452101557
248643,249365,107.489998,107.889999,105.970001,106.480003,806900.0,99.221085,2013-11-25,ECL,-0.00911937750927516,-0.009119635297968
248644,249366,106.720001,108.139999,106.300003,107.989998,1711100.0,100.628128,2013-11-26,ECL,0.0141808870564155,0.0141810195103018
248645,249367,107.940002,107.940002,106.809998,106.959999,772200.0,99.66836500000001,2013-11-27,ECL,-0.0095377209044375,-0.00953791109432189
248646,249368,107.160004,107.769997,106.860001,107.16999799999999,417900.0,99.864021,2013-11-29,ECL,0.0019630702279505,0.00196334145440691
248647,249369,106.900002,106.980003,105.650002,105.75,956500.0,98.54085500000001,2013-12-02,ECL,-0.0132496767779859,-0.0132499582579073
248648,249370,105.260002,105.790001,103.209999,103.650002,1589500.0,96.584,2013-12-03,ECL,-0.0198583115602152,-0.0198581371158393
248649,249371,103.339996,103.980003,102.550003,103.410004,1217800.0,96.360352,2013-12-04,ECL,-0.0023155802203263,-0.00231546546424577
248650,249372,103.230003,103.68,102.629997,103.050003,1213400.0,96.02490999999999,2013-12-05,ECL,-0.00348112053388927,-0.00348129761217297
248651,249373,104.300003,105.730003,103.91999799999999,105.690002,1500300.0,98.48492399999999,2013-12-06,ECL,0.0256184983667258,0.0256186212823304
248652,249374,106.33000200000001,106.339996,105.150002,105.760002,1247500.0,98.550163,2013-12-09,ECL,0.00066242626130264,0.000662314302917633
248653,249375,105.230003,106.050003,104.900002,105.050003,1078500.0,97.88855699999999,2013-12-10,ECL,-0.00671339325943066,-0.00671330357955169
248654,249376,105.019997,105.25,103.230003,103.239998,1115900.0,96.20195799999999,2013-12-11,ECL,-0.0172297871343634,-0.0172299376326529
248655,249377,103.220001,103.559998,102.75,102.839996,1143900.0,95.829208,2013-12-12,ECL,-0.00387466126209213,-0.0038744867081458296
248656,249378,102.889999,103.300003,102.440002,102.58000200000001,822400.0,95.843231,2013-12-13,ECL,0.000146333255723219,-0.00252814089957765
248657,249379,102.839996,102.970001,101.989998,102.099998,1235500.0,95.39475300000001,2013-12-16,ECL,-0.00467928715800503,-0.00467931361514295
248658,249380,102.68,102.690002,101.379997,102.059998,1565000.0,95.357399,2013-12-17,ECL,-0.000391572899192782,-0.00039177277946667
248659,249381,102.389999,104.110001,101.699997,104.08000200000001,1090100.0,97.244736,2013-12-18,ECL,0.0197922449625541,0.0197923186320266
248660,249382,103.68,104.0,102.809998,102.949997,922900.0,96.188942,2013-12-19,ECL,-0.0108570812511641,-0.0108570808828385
248661,249383,102.650002,104.559998,102.550003,104.239998,1598300.0,97.394211,2013-12-20,ECL,0.0125302241082972,0.0125303646196318
248662,249384,105.050003,105.050003,103.860001,104.279999,871000.0,97.431587,2013-12-23,ECL,0.000383759975220554,0.000383739454791643
248663,249385,104.129997,104.970001,103.839996,104.93,369700.0,98.03891800000001,2013-12-24,ECL,0.00623340970521191,0.00623322790787517
