,Unnamed: 0,price.open,price.high,price.low,price.close,volume,price.adjusted,ref.date,ticker,ret.adjusted.prices,ret.closing.prices
521385,526235,966.3900150000001,980.7800289999999,960.909973,974.76001,30000.0,974.76001,2013-11-21,NVR,,
521386,526236,974.0,977.599976,965.01001,973.76001,32400.0,973.76001,2013-11-22,NVR,-0.00102589354276028,-0.00102589354276028
521387,526237,968.3099980000001,977.98999,964.3099980000001,975.4600220000001,35900.0,975.4600220000001,2013-11-25,NVR,0.00174582236130227,0.00174582236130227
521388,526238,976.349976,987.7700199999999,976.349976,984.320007,34500.0,984.320007,2013-11-26,NVR,0.009082878642052709,0.009082878642052709
521389,526239,988.9400019999999,992.0,958.76001,988.0599980000001,33000.0,988.0599980000001,2013-11-27,NVR,0.0037995682028231204,0.0037995682028231204
521390,526240,981.3599849999999,981.3599849999999,967.5599980000001,969.9799800000001,10200.0,969.9799800000001,2013-11-29,NVR,-0.0182985021522954,-0.0182985021522954
521391,526241,972.900024,972.900024,956.419983,960.1199949999999,23600.0,960.1199949999999,2013-12-02,NVR,-0.0101651427898543,-0.0101651427898543
521392,526242,952.5,959.8099980000001,945.330017,954.080017,24800.0,954.080017,2013-12-03,NVR,-0.00629085742558666,-0.00629085742558666
521393,526243,953.4600220000001,958.0,946.4799800000001,952.4699710000001,26200.0,952.4699710000001,2013-12-04,NVR,-0.0016875377026159802,-0.0016875377026159802
521394,526244,952.8599849999999,962.2199710000001,946.5300289999999,962.0300289999999,22400.0,962.0300289999999,2013-12-05,NVR,0.0100371227346547,0.0100371227346547
521395,526245,967.599976,975.8699949999999,963.0,972.7999880000001,25900.0,972.7999880000001,2013-12-06,NVR,0.011195034120915002,0.011195034120915002
521396,526246,968.51001,979.159973,968.51001,979.159973,57200.0,979.159973,2013-12-09,NVR,0.00653781360860806,0.00653781360860806
521397,526247,980.25,981.3099980000001,968.0,969.0,65600.0,969.0,2013-12-10,NVR,-0.010376213570976999,-0.010376213570976999
521398,526248,962.900024,965.159973,948.0,952.98999,74300.0,952.98999,2013-12-11,NVR,-0.0165221981424148,-0.0165221981424148
521399,526249,955.0,962.2100220000001,948.0,955.25,34000.0,955.25,2013-12-12,NVR,0.00237149395451675,0.00237149395451675
